nohup: ignoring input
Training with a single process on 1 device (cuda:0).
Model mobile_former_294m created, param count:11835330
Data processing configuration for current model + dataset:
	input_size: (3, 224, 224)
	interpolation: bicubic
	mean: (0.485, 0.456, 0.406)
	std: (0.229, 0.224, 0.225)
	crop_pct: 0.875
	crop_mode: center
Created AdamW (adamw) optimizer: lr: 5e-05, betas: (0.9, 0.999), eps: 1e-08, weight_decay: 1e-08, amsgrad: False, foreach: None, maximize: False, capturable: False
AMP not enabled. Training in torch.float32.
Scheduled epochs: 300 (epochs + cooldown_epochs). Warmup within epochs when warmup_prefix=False. LR stepped per epoch.
Train: 0 [4500/40036 ( 11%)]  Loss: 6.86 (6.89)  Time: 0.382s,   83.76/s  (0.379s,   84.40/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1706.5s / 13472.8s
Train: 0 [4550/40036 ( 11%)]  Loss: 6.92 (6.89)  Time: 0.383s,   83.47/s  (0.379s,   84.40/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1725.5s / 13454.2s
Train: 0 [4600/40036 ( 11%)]  Loss: 6.89 (6.89)  Time: 0.383s,   83.50/s  (0.379s,   84.39/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1744.7s / 13436.6s
Train: 0 [4650/40036 ( 12%)]  Loss: 6.88 (6.89)  Time: 0.382s,   83.76/s  (0.379s,   84.38/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1763.8s / 13419.0s
Train: 0 [4700/40036 ( 12%)]  Loss: 6.84 (6.89)  Time: 0.383s,   83.64/s  (0.379s,   84.37/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1782.9s / 13401.4s
Train: 0 [4750/40036 ( 12%)]  Loss: 6.87 (6.89)  Time: 0.382s,   83.71/s  (0.379s,   84.37/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1802.1s / 13383.7s
Train: 0 [4800/40036 ( 12%)]  Loss: 6.83 (6.89)  Time: 0.382s,   83.80/s  (0.379s,   84.36/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1821.2s / 13366.0s
Train: 0 [4850/40036 ( 12%)]  Loss: 6.89 (6.89)  Time: 0.382s,   83.82/s  (0.379s,   84.35/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1840.3s / 13348.2s
Train: 0 [4900/40036 ( 12%)]  Loss: 6.84 (6.89)  Time: 0.382s,   83.76/s  (0.379s,   84.34/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1859.4s / 13330.1s
Train: 0 [4950/40036 ( 12%)]  Loss: 6.87 (6.89)  Time: 0.372s,   85.91/s  (0.379s,   84.35/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1878.3s / 13310.6s
Train: 0 [5000/40036 ( 12%)]  Loss: 6.83 (6.89)  Time: 0.374s,   85.57/s  (0.379s,   84.36/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1897.0s / 13289.8s
Train: 0 [5050/40036 ( 13%)]  Loss: 6.84 (6.89)  Time: 0.382s,   83.71/s  (0.379s,   84.36/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1916.0s / 13270.7s
Train: 0 [5100/40036 ( 13%)]  Loss: 6.94 (6.89)  Time: 0.382s,   83.74/s  (0.379s,   84.35/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1935.1s / 13252.9s
Train: 0 [5150/40036 ( 13%)]  Loss: 6.92 (6.89)  Time: 0.382s,   83.70/s  (0.379s,   84.35/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1954.2s / 13235.0s
Train: 0 [5200/40036 ( 13%)]  Loss: 6.91 (6.89)  Time: 0.383s,   83.59/s  (0.379s,   84.34/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1973.4s / 13217.1s
Train: 0 [5250/40036 ( 13%)]  Loss: 6.87 (6.89)  Time: 0.382s,   83.68/s  (0.379s,   84.33/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1992.5s / 13199.2s
Train: 0 [5300/40036 ( 13%)]  Loss: 6.88 (6.89)  Time: 0.383s,   83.61/s  (0.379s,   84.33/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 2011.6s / 13181.2s
Train: 0 [5350/40036 ( 13%)]  Loss: 6.88 (6.89)  Time: 0.382s,   83.82/s  (0.380s,   84.32/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 2030.7s / 13163.2s
Train: 0 [5400/40036 ( 13%)]  Loss: 6.82 (6.89)  Time: 0.382s,   83.84/s  (0.380s,   84.32/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 2049.8s / 13144.6s
Train: 0 [5450/40036 ( 14%)]  Loss: 6.83 (6.89)  Time: 0.383s,   83.66/s  (0.380s,   84.31/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 2068.8s / 13126.1s
